experiment_name,plate,chem_id,frag_id,core_id,lib_plate_id,lib_well,batch,molecule_name,batch_name,cell_line,cell_library,gene_symbol,reporter,protein_reporter,channel,pos_control,neg_control,screening,compound_class,n_doses,chem_min,chem_max,chem_min_raw,chem_max_raw,ec05,conc_at_max_activity,conc_at_pos_ctrl_ec05_activity,conc_at_pos_ctrl_ec50_activity,conc_at_05_activity,activity_status,rollover_status,saturation_status,direction,drc_curve,drc_curve_no_ctrls,emin_estimate,emin_std_error,emin_ci_lower,emin_ci_upper,emax_estimate,emax_std_error,emax_ci_lower,emax_ci_upper,slope_estimate,slope_std_error,slope_ci_lower,slope_ci_upper,ec50_estimate,ec50_std_error,ec50_ci_lower,ec50_ci_upper,emin_vs_pos_ctrl_estimate,emin_vs_pos_ctrl_std_error,emin_vs_pos_ctrl_ci_lower,emin_vs_pos_ctrl_ci_upper,emax_vs_pos_ctrl_estimate,emax_vs_pos_ctrl_std_error,emax_vs_pos_ctrl_ci_lower,emax_vs_pos_ctrl_ci_upper,max_pred_vs_pos_ctrl_estimate,max_pred_vs_pos_ctrl_std_error,max_pred_vs_pos_ctrl_ci_lower,max_pred_vs_pos_ctrl_ci_upper,ec50_clean,ec50_group,status,qc_flag_primary,qc_flag,version
OPA_PXR-048,Plate01,OCNT-2469051||NA|NA|TL-001,OCNT-2469051,,NA,NA,TL-001,OCNT-2469051,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.6498330489896,4.94966278635627e-05,-6.71463889792789,-4.98853369513252,-6.71463889792789,,,,,OCNT-2469051-TL-001_c6385.png,OCNT-2469051-TL-001_c6385_no-ctrls.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec50_clean is deprecated - please use ec50_estimate!,FAIL,pEC50_CI_TOO_WIDE,FAIL pEC50_CI_TOO_WIDE,6.4.1
OPA_PXR-048,Plate01,OCNT-2469065||NA|NA|TL-001,OCNT-2469065,,NA,NA,TL-001,OCNT-2469065,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.46994493784629,4.94966278635627e-05,-6.39848671137236,-4.61032880258661,-6.39848671137236,YES,NO,NO,UP,OCNT-2469065-TL-001_c6385.png,OCNT-2469065-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,517915.537898288,53399.5291794293,429171.381862813,640368.831952434,0.754865259009731,0.0454776516086899,0.708497994748828,0.883649352276205,-4.770299445,0.151234703246671,-5.062606,-4.47063925,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.895425250467311,0.124242645958356,0.689224632871169,1.1869582034432,0.610309200151568,0.041419170130704,0.532459416189097,0.697630712340529,-4.770299445,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469071||NA|NA|TL-001,OCNT-2469071,,NA,NA,TL-001,OCNT-2469071,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-7.38234289812159,4.94966278635627e-05,-7.47541945634975,-5.92821555010148,-7.47541945634975,YES,NO,NO,UP,OCNT-2469071-TL-001_c6385.png,OCNT-2469071-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,640378.156807038,67549.2604797478,546700.580575151,786905.980876514,0.797805079871049,0.0669202408716786,0.709716363412393,0.952463589402398,-5.768790695,0.155674984868942,-6.02174175,-5.46450425,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.17809127465965,0.156885275004139,0.956810557677895,1.51455815633456,0.949263265008218,0.0900591685138542,0.780658047226992,1.1026855819319,-5.768790695,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469080||NA|NA|TL-001,OCNT-2469080,,NA,NA,TL-001,OCNT-2469080,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.93592016186989,4.94966278635627e-05,-6.97885643751574,-5.98296988392308,-6.97885643751574,YES,NO,YES,UP,OCNT-2469080-TL-001_c6385.png,OCNT-2469080-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,617003.586565477,24251.2362627664,572520.562524694,668318.540351015,1.24895928082749,0.0948013745960807,1.07778368605137,1.45281718690351,-5.9062070875,0.0557244753742131,-6.01011125,-5.79345025,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.12414717146495,0.0585811946638861,1.01420074567305,1.24510813082385,1.11012460723788,0.05579914348749,1.00420029398345,1.22438497627311,-5.9062070875,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2318616||NA|NA|TL-001,OCNT-2318616,,NA,NA,TL-001,OCNT-2318616,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-7.0548929440086,1.70339188784759e-05,-6.89897291895696,-5.69340240210544,-6.89897291895696,YES,NO,YES,UP,OCNT-2318616-TL-001_c6385.png,OCNT-2318616-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,402482.396719231,14639.9583664465,380380.456713388,436428.823736218,1.39268999963545,0.140474773592851,1.11564819174198,1.65667958402862,-6.12700125,0.0617129290910077,-6.223395,-5.97786775,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.628933804296974,0.0351461167947272,0.574913459955332,0.711339587885189,0.596164183982157,0.0297651509045259,0.540378505860635,0.656566681228559,-6.12700125,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469118||NA|NA|TL-001,OCNT-2469118,,NA,NA,TL-001,OCNT-2469118,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.44214989285406,4.94966278635627e-05,-5.39589948050413,-3.55543987417693,-5.39589948050413,YES,NO,NO,UP,OCNT-2469118-TL-001_c6385.png,OCNT-2469118-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,558605.886284541,173769.642028501,392149.918264214,1019790.99101249,0.747732090743895,0.0377373685124801,0.707852169971375,0.845203077517292,-3.7279271875,0.264862683346998,-4.12265275,-3.11943775,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.9892663034255,0.40126251694818,0.602454457058275,2.06439700481891,0.248310009770516,0.022606923282647,0.206127787457991,0.294254493106573,-3.7279271875,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469093||NA|NA|TL-001,OCNT-2469093,,NA,NA,TL-001,OCNT-2469093,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.7633698380874,4.94966278635627e-05,-5.66503208502339,-4.74735913297683,-5.66503208502339,YES,NO,NO,UP,OCNT-2469093-TL-001_c6385.png,OCNT-2469093-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,432306.601557182,31459.0511146605,388839.824389289,504303.78076689,1.71224215201996,0.290148863884342,1.2151715404731,2.34401294061946,-4.995115105,0.0857118493139495,-5.128792,-4.80487675,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.69776455267698,0.0732216840358825,0.594407355825322,0.866165736974039,0.642466603187457,0.0421644291605211,0.570830041669018,0.735450666560815,-4.995115105,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469092||NA|NA|TL-001,OCNT-2469092,,NA,NA,TL-001,OCNT-2469092,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-5.42443461076053,4.94966278635627e-05,-5.44533804137497,-3.7772200329989,-5.44533804137497,YES,NO,NO,UP,OCNT-2469092-TL-001_c6385.png,OCNT-2469092-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,610849.036732479,214392.099112347,396762.573718482,1175425.076786,0.796680488147326,0.0720245402518134,0.711234309201727,0.975734716174649,-3.80731862,0.296985678063841,-4.27719725,-3.17288,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.10971949941046,0.494562539095515,0.614803529967133,2.40573288749529,0.293684076893289,0.0254129692472467,0.245747154833909,0.346290164034652,-3.80731862,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469054||NA|NA|TL-001,OCNT-2469054,,NA,NA,TL-001,OCNT-2469054,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-7.59422365911627,2.93452820589005e-05,-7.65878666203017,-6.36537282095183,-7.65878666203017,YES,NO,UNKNOWN,UP,OCNT-2469054-TL-001_c6385.png,OCNT-2469054-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,625025.042487005,34826.2657952146,556682.637202563,696581.463672188,0.961236113633646,0.0945607683123599,0.79083349732414,1.16702794297963,-6.25122954,0.0924696377967761,-6.426719,-6.062038,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,1.14269223426273,0.0826683597818466,0.980835010067722,1.31714268508899,1.07414075035133,0.0697194900722301,0.943999208311706,1.21463670311684,-6.25122954,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
OPA_PXR-048,Plate01,OCNT-2469058||NA|NA|TL-001,OCNT-2469058,,NA,NA,TL-001,OCNT-2469058,TL-001,c6385,,GAL4_DBD-NR1I2_LBD,gal4uas,,Luminescence,,,FALSE,Library,9,-8.28924238957618,-4.30535136944662,-19.0866859584525,-9.9134378833893,-6.13177533785144,4.94966278635627e-05,-6.11304997756286,-5.08747554094002,-6.11304997756286,YES,NO,NO,UP,OCNT-2469058-TL-001_c6385.png,OCNT-2469058-TL-001_c6385_no-ctrls.png,130101.096396852,2429.94061614252,125404.01426735,135017.126448973,540266.120427588,38128.996626659,477418.778971511,629102.758537233,1.29100119085431,0.154451592842457,1.02687075713031,1.62871099763378,-5.12731862,0.088502477831082,-5.282475,-4.936173,0.000152320536090669,0.00561105512499706,-0.0106454331669384,0.0115375121655348,0.946984238750951,0.0890519574249081,0.798960475731534,1.15065280655137,0.862153422037829,0.0547160727345132,0.757305507304674,0.977452796546808,-5.12731862,ec50_clean is deprecated - please use ec50_estimate!,PASS,PASS,PASS,6.4.1
