plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	C	29	OCNT-2469056	TL-001	OCNT-2469056||NA|NA|TL-001	5.137568322379613e-9	Library	119735	NA	-0.02391156825150329	NA	c6385
Plate01	Luminescence	C	30	OCNT-2469109	TL-001	OCNT-2469109||NA|NA|TL-001	5.137568322379613e-9	Library	116626	NA	-0.03108312665187642	NA	c6385
Plate01	Luminescence	C	31	OCNT-2469049	TL-001	OCNT-2469049||NA|NA|TL-001	5.137568322379613e-9	Library	121781	NA	-0.019192041558945067	NA	c6385
Plate01	Luminescence	C	32	OCNT-2469086	TL-001	OCNT-2469086||NA|NA|TL-001	5.137568322379613e-9	Library	117567	NA	-0.028912513446746103	NA	c6385
Plate01	Luminescence	C	33	OCNT-2469085	TL-001	OCNT-2469085||NA|NA|TL-001	5.137568322379613e-9	Library	142049	NA	0.027560337231265258	NA	c6385
Plate01	Luminescence	C	35	OCNT-2469060	TL-001	OCNT-2469060||NA|NA|TL-001	5.137568322379613e-9	Library	169187	NA	0.09015980711525688	NA	c6385
Plate01	Luminescence	C	37	OCNT-2469042	TL-001	OCNT-2469042||NA|NA|TL-001	5.137568322379613e-9	Library	123473	NA	-0.015289089865978999	NA	c6385
Plate01	Luminescence	C	38	OCNT-2469068	TL-001	OCNT-2469068||NA|NA|TL-001	5.137568322379613e-9	Library	117853	NA	-0.028252794661764804	NA	c6385
Plate01	Luminescence	C	39	OCNT-2469114	TL-001	OCNT-2469114||NA|NA|TL-001	5.137568322379613e-9	Library	114058	NA	-0.03700675546247757	NA	c6385
Plate01	Luminescence	C	40	OCNT-2469031	TL-001	OCNT-2469031||NA|NA|TL-001	5.137568322379613e-9	Library	113687	NA	-0.03786254451572226	NA	c6385
Plate01	Luminescence	C	42	OCNT-2469050	TL-001	OCNT-2469050||NA|NA|TL-001	5.137568322379613e-9	Library	139880	NA	0.02255708532698449	NA	c6385
Plate01	Luminescence	D	6	OCNT-2469051	TL-001	OCNT-2469051||NA|NA|TL-001	4.120262213495243e-8	Library	136513	NA	0.014790395994705085	NA	c6385
Plate01	Luminescence	D	8	OCNT-2469065	TL-001	OCNT-2469065||NA|NA|TL-001	4.120262213495243e-8	Library	134715	NA	0.01064293314366924	NA	c6385
Plate01	Luminescence	D	10	OCNT-2469071	TL-001	OCNT-2469071||NA|NA|TL-001	4.120262213495243e-8	Library	153663	NA	0.05435045600319685	NA	c6385
Plate01	Luminescence	D	11	OCNT-2469080	TL-001	OCNT-2469080||NA|NA|TL-001	4.120262213495243e-8	Library	124130	NA	-0.013773582027752779	NA	c6385
Plate01	Luminescence	D	12	OCNT-2318616	TL-001	OCNT-2318616||NA|NA|TL-001	4.120262213495243e-8	Library	122646	NA	-0.017196738240732607	NA	c6385
Plate01	Luminescence	D	13	OCNT-2469118	TL-001	OCNT-2469118||NA|NA|TL-001	4.120262213495243e-8	Library	129893	NA	-4.800178394767433e-4	NA	c6385
Plate01	Luminescence	D	15	OCNT-2469093	TL-001	OCNT-2469093||NA|NA|TL-001	4.120262213495243e-8	Library	128497	NA	-0.0037001836570775552	NA	c6385
