plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	B	6	OCNT-0002416	AA-003	OCNT-0002416||NA|NA|AA-003	5.245093797779444e-9	Core_only Control	135372	NA	0.15396140509225353	NA	c6385
Plate01	Luminescence	B	10	OCNT-2432809	ZZ-002	OCNT-2432809||NA|NA|ZZ-002	5.245524319330986e-9	Library	133574	NA	0.148484479780325	NA	c6385
Plate01	Luminescence	B	12	OCNT-2432603	ZZ-002	OCNT-2432603||NA|NA|ZZ-002	5.245524319330986e-9	Library	129592	NA	0.13635482650329572	NA	c6385
Plate01	Luminescence	B	15	OCNT-2432972	ZZ-002	OCNT-2432972||NA|NA|ZZ-002	5.245524319330986e-9	Library	133203	NA	0.1473543689400998	NA	c6385
Plate01	Luminescence	B	17	OCNT-2432658	ZZ-002	OCNT-2432658||NA|NA|ZZ-002	5.245524319330986e-9	Library	132718	NA	0.1458770003214762	NA	c6385
Plate01	Luminescence	B	18	OCNT-2432713	ZZ-002	OCNT-2432713||NA|NA|ZZ-002	5.245524319330986e-9	Library	124130	NA	0.1197169143488175	NA	c6385
Plate01	Luminescence	B	19	OCNT-2432593	ZZ-002	OCNT-2432593||NA|NA|ZZ-002	5.245524319330986e-9	Library	131577	NA	0.1424013764166315	NA	c6385
Plate01	Luminescence	B	22	OCNT-2432987	ZZ-002	OCNT-2432987||NA|NA|ZZ-002	5.245524319330986e-9	Library	135212	NA	0.15347402575415092	NA	c6385
Plate01	Luminescence	B	23	OCNT-2432891	ZZ-002	OCNT-2432891||NA|NA|ZZ-002	5.245524319330986e-9	Library	127040	NA	0.128581126060559	NA	c6385
Plate01	Luminescence	C	6	OCNT-0002416	AA-003	OCNT-0002416||NA|NA|AA-003	1.5735281393338333e-8	Core_only Control	106640	NA	0.06644026045247392	NA	c6385
Plate01	Luminescence	C	8	OCNT-2432776	ZZ-002	OCNT-2432776||NA|NA|ZZ-002	1.5736572957992963e-8	Library	85016	NA	5.709429079039176e-4	NA	c6385
Plate01	Luminescence	C	10	OCNT-2432809	ZZ-002	OCNT-2432809||NA|NA|ZZ-002	1.5736572957992963e-8	Library	96370	NA	0.03515659918801146	NA	c6385
Plate01	Luminescence	C	11	OCNT-2432880	ZZ-002	OCNT-2432880||NA|NA|ZZ-002	1.5736572957992963e-8	Library	90978	NA	0.01873191549395295	NA	c6385
Plate01	Luminescence	C	12	OCNT-2432603	ZZ-002	OCNT-2432603||NA|NA|ZZ-002	1.5736572957992963e-8	Library	84360	NA	-0.0014273123783169889	NA	c6385
Plate01	Luminescence	C	15	OCNT-2432972	ZZ-002	OCNT-2432972||NA|NA|ZZ-002	1.5736572957992963e-8	Library	91834	NA	0.021339394952802095	NA	c6385
Plate01	Luminescence	C	16	OCNT-2432969	ZZ-002	OCNT-2432969||NA|NA|ZZ-002	1.5736572957992963e-8	Library	95086	NA	0.03124537999973809	NA	c6385
Plate01	Luminescence	C	17	OCNT-2432658	ZZ-002	OCNT-2432658||NA|NA|ZZ-002	1.5736572957992963e-8	Library	86928	NA	0.006395125998230274	NA	c6385
Plate01	Luminescence	C	18	OCNT-2432713	ZZ-002	OCNT-2432713||NA|NA|ZZ-002	1.5736572957992963e-8	Library	82421	NA	-0.007333740731948208	NA	c6385
Plate01	Luminescence	C	19	OCNT-2432593	ZZ-002	OCNT-2432593||NA|NA|ZZ-002	1.5736572957992963e-8	Library	91869	NA	0.021446009183011913	NA	c6385
Plate01	Luminescence	C	22	OCNT-2432987	ZZ-002	OCNT-2432987||NA|NA|ZZ-002	1.5736572957992963e-8	Library	86899	NA	0.00630678849319904	NA	c6385
Plate01	Luminescence	C	23	OCNT-2432891	ZZ-002	OCNT-2432891||NA|NA|ZZ-002	1.5736572957992963e-8	Library	85501	NA	0.002048311526527552	NA	c6385
Plate01	Luminescence	C	27	OCNT-2432830	ZZ-002	OCNT-2432830||NA|NA|ZZ-002	5.245524319330986e-9	Library	91613	NA	0.020666202242047706	NA	c6385
Plate01	Luminescence	C	28	OCNT-2432819	ZZ-002	OCNT-2432819||NA|NA|ZZ-002	5.245524319330986e-9	Library	88554	NA	0.011348118521698139	NA	c6385
Plate01	Luminescence	C	29	OCNT-2432679	ZZ-002	OCNT-2432679||NA|NA|ZZ-002	5.245524319330986e-9	Library	90803	NA	0.018198844342903156	NA	c6385
Plate01	Luminescence	C	31	OCNT-2432597	ZZ-002	OCNT-2432597||NA|NA|ZZ-002	5.245524319330986e-9	Library	101119	NA	0.04962262716707039	NA	c6385
Plate01	Luminescence	C	32	OCNT-2432898	ZZ-002	OCNT-2432898||NA|NA|ZZ-002	5.245524319330986e-9	Library	88930	NA	0.012493459966239403	NA	c6385
Plate01	Luminescence	C	33	OCNT-2432897	ZZ-002	OCNT-2432897||NA|NA|ZZ-002	5.245524319330986e-9	Library	96712	NA	0.036198372523205916	NA	c6385
Plate01	Luminescence	C	35	OCNT-2432728	ZZ-002	OCNT-2432728||NA|NA|ZZ-002	5.245524319330986e-9	Library	95172	NA	0.03150734639396808	NA	c6385
Plate01	Luminescence	C	36	OCNT-0002416	AA-003	OCNT-0002416||NA|NA|AA-003	5.245093797779444e-9	Core_only Control	95685	NA	0.03307000639675949	NA	c6385
Plate01	Luminescence	C	37	OCNT-2432550	ZZ-002	OCNT-2432550||NA|NA|ZZ-002	5.245524319330986e-9	Library	85701	NA	0.002657535699155748	NA	c6385
Plate01	Luminescence	C	38	OCNT-2432792	ZZ-002	OCNT-2432792||NA|NA|ZZ-002	5.245524319330986e-9	Library	95269	NA	0.031802820117692705	NA	c6385
Plate01	Luminescence	C	40	OCNT-2432467	ZZ-002	OCNT-2432467||NA|NA|ZZ-002	5.245524319330986e-9	Library	92993	NA	0.024869849033183004	NA	c6385
Plate01	Luminescence	C	42	OCNT-2432628	ZZ-002	OCNT-2432628||NA|NA|ZZ-002	5.245524319330986e-9	Library	102617	NA	0.05418571622005615	NA	c6385
Plate01	Luminescence	D	6	OCNT-0002416	AA-003	OCNT-0002416||NA|NA|AA-003	5.2450937977794433e-8	Core_only Control	87028	NA	0.006699738084544195	NA	c6385
Plate01	Luminescence	D	8	OCNT-2432776	ZZ-002	OCNT-2432776||NA|NA|ZZ-002	5.245524319330986e-8	Library	86956	NA	0.006480417382398367	NA	c6385
Plate01	Luminescence	D	10	OCNT-2432809	ZZ-002	OCNT-2432809||NA|NA|ZZ-002	5.245524319330986e-8	Library	92947	NA	0.024729727473478232	NA	c6385
Plate01	Luminescence	D	11	OCNT-2432880	ZZ-002	OCNT-2432880||NA|NA|ZZ-002	5.245524319330986e-8	Library	80053	NA	-0.014546954935867275	NA	c6385
Plate01	Luminescence	D	12	OCNT-2432603	ZZ-002	OCNT-2432603||NA|NA|ZZ-002	5.245524319330986e-8	Library	81736	NA	-0.009420333523200215	NA	c6385
Plate01	Luminescence	D	15	OCNT-2432972	ZZ-002	OCNT-2432972||NA|NA|ZZ-002	5.245524319330986e-8	Library	85815	NA	0.00300479347755387	NA	c6385
Plate01	Luminescence	D	16	OCNT-2432969	ZZ-002	OCNT-2432969||NA|NA|ZZ-002	5.245524319330986e-8	Library	96655	NA	0.03602474363400694	NA	c6385
Plate01	Luminescence	D	17	OCNT-2432658	ZZ-002	OCNT-2432658||NA|NA|ZZ-002	5.245524319330986e-8	Library	75877	NA	-0.027267555660345593	NA	c6385
Plate01	Luminescence	D	18	OCNT-2432713	ZZ-002	OCNT-2432713||NA|NA|ZZ-002	5.245524319330986e-8	Library	76944	NA	-0.024017344699373916	NA	c6385
Plate01	Luminescence	D	19	OCNT-2432593	ZZ-002	OCNT-2432593||NA|NA|ZZ-002	5.245524319330986e-8	Library	79226	NA	-0.017066096889685186	NA	c6385
Plate01	Luminescence	D	22	OCNT-2432987	ZZ-002	OCNT-2432987||NA|NA|ZZ-002	5.245524319330986e-8	Library	78313	NA	-0.019847205237733086	NA	c6385
