plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	B	9	OCNT-2318616	AA-004	OCNT-2318616||NA|NA|AA-004	5.153544711123203e-9	Library	128923	NA	0.042607430281395534	NA	c6385
Plate01	Luminescence	B	18	OCNT-2311117	AA-004	OCNT-2311117||NA|NA|AA-004	5.153544711123203e-9	Library	123844	NA	0.030074726820095987	NA	c6385
Plate01	Luminescence	B	21	OCNT-2318311	AA-004	OCNT-2318311||NA|NA|AA-004	5.153544711123203e-9	Library	117853	NA	0.015291614704198759	NA	c6385
Plate01	Luminescence	C	9	OCNT-2318616	AA-004	OCNT-2318616||NA|NA|AA-004	1.544134450876894e-8	Library	114600	NA	0.007264663658795125	NA	c6385
Plate01	Luminescence	C	18	OCNT-2311117	AA-004	OCNT-2311117||NA|NA|AA-004	1.544134450876894e-8	Library	107011	NA	-0.01146159870934808	NA	c6385
Plate01	Luminescence	C	21	OCNT-2318311	AA-004	OCNT-2318311||NA|NA|AA-004	1.544134450876894e-8	Library	92704	NA	-0.046764884478358686	NA	c6385
Plate01	Luminescence	D	9	OCNT-2318616	AA-004	OCNT-2318616||NA|NA|AA-004	4.632403352630681e-8	Library	132975	NA	0.05260595645292169	NA	c6385
Plate01	Luminescence	D	18	OCNT-2311117	AA-004	OCNT-2311117||NA|NA|AA-004	4.632403352630681e-8	Library	127027	NA	0.03792894913104641	NA	c6385
Plate01	Luminescence	D	21	OCNT-2318311	AA-004	OCNT-2318311||NA|NA|AA-004	4.632403352630681e-8	Library	99966	NA	-0.028845512055449878	NA	c6385
Plate01	Luminescence	E	9	OCNT-2318616	AA-004	OCNT-2318616||NA|NA|AA-004	1.544134450876893e-7	Library	170586	NA	0.14541310547495753	NA	c6385
Plate01	Luminescence	E	18	OCNT-2311117	AA-004	OCNT-2311117||NA|NA|AA-004	1.544134450876893e-7	Library	170186	NA	0.14442608413522115	NA	c6385
Plate01	Luminescence	E	21	OCNT-2318311	AA-004	OCNT-2318311||NA|NA|AA-004	1.544134450876893e-7	Library	124329	NA	0.03127149019452625	NA	c6385
Plate01	Luminescence	F	9	OCNT-2318616	AA-004	OCNT-2318616||NA|NA|AA-004	4.022399861865047e-7	Library	278609	NA	0.41196562093073724	NA	c6385
Plate01	Luminescence	F	18	OCNT-2311117	AA-004	OCNT-2311117||NA|NA|AA-004	4.022399861865047e-7	Library	264674	NA	0.37758026500768066	NA	c6385
Plate01	Luminescence	F	21	OCNT-2318311	AA-004	OCNT-2318311||NA|NA|AA-004	4.022399861865047e-7	Library	176722	NA	0.16055401282650913	NA	c6385
