plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	C	35	OCNT-2434170	ZZ-001	OCNT-2434170||NA|NA|ZZ-001	5.245524319330986e-9	Library	122789	NA	0.04177563312653081	NA	c6385
Plate01	Luminescence	C	36	OCNT-2432456	AA-001	OCNT-2432456||NA|NA|AA-001	5.245093797779444e-9	Core_only Control	116626	NA	0.026901531483764916	NA	c6385
Plate01	Luminescence	C	37	OCNT-2434060	ZZ-001	OCNT-2434060||NA|NA|ZZ-001	5.245524319330986e-9	Library	110149	NA	0.011269606067539543	NA	c6385
Plate01	Luminescence	C	38	OCNT-2434230	ZZ-001	OCNT-2434230||NA|NA|ZZ-001	5.245524319330986e-9	Library	128581	NA	0.05575434425989143	NA	c6385
Plate01	Luminescence	C	40	OCNT-2434014	ZZ-001	OCNT-2434014||NA|NA|ZZ-001	5.245524319330986e-9	Library	114600	NA	0.02201187872889792	NA	c6385
Plate01	Luminescence	C	42	OCNT-2434119	ZZ-001	OCNT-2434119||NA|NA|ZZ-001	5.245524319330986e-9	Library	128814	NA	0.05631667846121634	NA	c6385
Plate01	Luminescence	D	6	OCNT-2432456	AA-001	OCNT-2432456||NA|NA|AA-001	5.2450937977794433e-8	Core_only Control	123901	NA	0.044459391203239655	NA	c6385
Plate01	Luminescence	D	8	OCNT-2434216	ZZ-001	OCNT-2434216||NA|NA|ZZ-001	5.245524319330986e-8	Library	100427	NA	-0.012193969491599437	NA	c6385
Plate01	Luminescence	D	10	OCNT-2434249	ZZ-001	OCNT-2434249||NA|NA|ZZ-001	5.245524319330986e-8	Library	107268	NA	0.0043164522734768125	NA	c6385
Plate01	Luminescence	D	11	OCNT-2434322	ZZ-001	OCNT-2434322||NA|NA|ZZ-001	5.245524319330986e-8	Library	96796	NA	-0.02095721191653576	NA	c6385
Plate01	Luminescence	D	12	OCNT-2434117	ZZ-001	OCNT-2434117||NA|NA|ZZ-001	5.245524319330986e-8	Library	102646	NA	-0.006838520595721119	NA	c6385
Plate01	Luminescence	D	15	OCNT-2434400	ZZ-001	OCNT-2434400||NA|NA|ZZ-001	5.245524319330986e-8	Library	101695	NA	-0.009133712979668829	NA	c6385
Plate01	Luminescence	D	16	OCNT-2434399	ZZ-001	OCNT-2434399||NA|NA|ZZ-001	5.245524319330986e-8	Library	90151	NA	-0.036994597186076984	NA	c6385
Plate01	Luminescence	D	17	OCNT-2434136	ZZ-001	OCNT-2434136||NA|NA|ZZ-001	5.245524319330986e-8	Library	89695	NA	-0.038095131073648154	NA	c6385
Plate01	Luminescence	D	18	OCNT-2434156	ZZ-001	OCNT-2434156||NA|NA|ZZ-001	5.245524319330986e-8	Library	100221	NA	-0.01269114050221257	NA	c6385
Plate01	Luminescence	D	19	OCNT-2434114	ZZ-001	OCNT-2434114||NA|NA|ZZ-001	5.245524319330986e-8	Library	99332	NA	-0.014836698892675002	NA	c6385
Plate01	Luminescence	D	22	OCNT-2434412	ZZ-001	OCNT-2434412||NA|NA|ZZ-001	5.245524319330986e-8	Library	100849	NA	-0.011175492955294327	NA	c6385
