Molecule Name,Structure (CXSMILES),Batch Name,Barcode,Run Date,experiment_name,plate,chem_id,cell_line,frag_id,core_id,lib_plate_id,lib_well,batch,protein_reporter,reporter,gene_symbol,drc_curve,drc_curve File Name,drc_curve_no_ctrls,drc_curve_no_ctrls File Name,direction,ec50_estimate (log10([M])),ec50_std_error (log10([M])),ec50_ci_upper (log10([M])),ec50_ci_lower (log10([M])),slope_estimate (arb. units),slope_std_error (arb. units),slope_ci_upper (arb. units),slope_ci_lower (arb. units),emax_estimate (raw),emax_std_error (raw),emax_ci_upper (raw),emax_ci_lower (raw),emin_estimate (raw),emin_std_error (raw),emin_ci_upper (raw),emin_ci_lower (raw),emax_vs_pos_ctrl_estimate (linear),emax_vs_pos_ctrl_ci_upper (linear),emax_vs_pos_ctrl_ci_lower (linear),max_dose_activity_vs_pos_ctrl_estimate (linear),max_dose_activity_vs_pos_ctrl_ci_upper (linear),max_dose_activity_vs_pos_ctrl_ci_lower (linear),emin_vs_pos_ctrl_estimate (linear),emin_vs_pos_ctrl_ci_upper (linear),emin_vs_pos_ctrl_ci_lower (linear),pseudoyield,product_peak_area,qc_flag,version,ec05,conc_at_05_activity,conc_at_pos_ctrl_ec05_activity,ec50_clean (log10([M])),EC50 [uM],ec50_group,analysis_id,activity_status,saturation_status,rollover_status
OCNT-2432880,COC(C)(C(=O)NC1(C2=CC(Br)=CC=C2C)CC1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432880||NA|NA|ZZ-002,c6385,OCNT-2432880,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376189,OCNT-2432880-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376190,OCNT-2432880-ZZ-002_c6385_no-ctrls.png,UP,-5.57,0.0548,-5.45,-5.67,1.45,0.156,1.78,1.17,350E+03,14.4E+03,379E+03,324E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.810,0.939,0.705,0.796,0.915,0.696,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.46,-6.39,-6.39,-5.57,2.71,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,YES,NO
OCNT-2432969,COC(C)(C(=O)NCC(C1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432969||NA|NA|ZZ-002,c6385,OCNT-2432969,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376192,OCNT-2432969-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376194,OCNT-2432969-ZZ-002_c6385_no-ctrls.png,UP,-5.96,0.0700,-5.81,-6.09,0.958,0.0697,1.11,0.830,450E+03,18.1E+03,488E+03,417E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.12,1.28,0.982,1.09,1.23,0.964,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-7.30,-7.35,-7.35,-5.96,1.10,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432830,COC(C)(C(=O)NCCCOC1CCCC2=CC=CC=C21)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432830||NA|NA|ZZ-002,c6385,OCNT-2432830,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376195,OCNT-2432830-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376196,OCNT-2432830-ZZ-002_c6385_no-ctrls.png,UP,-5.62,0.0417,-5.54,-5.70,1.84,0.234,2.37,1.45,264E+03,7.74E+03,282E+03,252E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.547,0.628,0.489,0.542,0.616,0.480,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.33,-6.17,-6.17,-5.62,2.38,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,YES,NO
OCNT-2432819,COC(C)(C(=O)NCC1=CN=C(O)C=N1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432819||NA|NA|ZZ-002,c6385,OCNT-2432819,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376199,OCNT-2432819-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376200,OCNT-2432819-ZZ-002_c6385_no-ctrls.png,UP,-3.58,0.289,-2.99,-4.06,0.825,0.0801,1.01,0.713,430E+03,148E+03,805E+03,262E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.06,2.24,0.531,0.199,0.243,0.159,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-5.14,-5.13,-5.13,-3.58,266,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432679,COC(C)(C(=O)NC(C1=CC=C(Cl)C(F)=C1)C1=NOC(C)=N1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432679||NA|NA|ZZ-002,c6385,OCNT-2432679,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376202,OCNT-2432679-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376204,OCNT-2432679-ZZ-002_c6385_no-ctrls.png,UP,-5.59,0.0351,-5.52,-5.66,2.13,0.230,2.64,1.74,390E+03,13.7E+03,417E+03,364E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.933,1.06,0.822,0.930,1.05,0.821,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.20,-6.18,-6.18,-5.59,2.57,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,YES,NO
OCNT-2432597,COC(C)(C(=O)NC1CCCC2=C1NC1=CC=C(Cl)C=C12)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432597||NA|NA|ZZ-002,c6385,OCNT-2432597,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376205,OCNT-2432597-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376206,OCNT-2432597-ZZ-002_c6385_no-ctrls.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL pEC50_CI_TOO_WIDE,6.4.1,-5.25,-5.31,-5.31,,,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547
OCNT-2432898,COC(C)(C(=O)NCC1=CC(Cl)=C2C=CC=NC2=C1O)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432898||NA|NA|ZZ-002,c6385,OCNT-2432898,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376209,OCNT-2432898-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376210,OCNT-2432898-ZZ-002_c6385_no-ctrls.png,UP,-3.94,0.278,-3.26,-4.35,0.715,8.76E-03,0.738,0.707,269E+03,33.1E+03,337E+03,251E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.563,0.767,0.484,0.199,0.283,0.109,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-5.72,-5.34,-5.34,-3.94,116,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432897,COC(C)(C(=O)NC1CCC2=C(C=CS2)NC1=O)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432897||NA|NA|ZZ-002,c6385,OCNT-2432897,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376212,OCNT-2432897-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376213,OCNT-2432897-ZZ-002_c6385_no-ctrls.png,UP,-5.16,0.0977,-4.94,-5.32,1.34,0.180,1.74,1.03,326E+03,22.7E+03,382E+03,290E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.736,0.941,0.610,0.679,0.793,0.586,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.13,-6.03,-6.03,-5.16,6.91,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432728,COC(C)(C(=O)NCC1=C(C)N=C(N2CCCCC2)S1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432728||NA|NA|ZZ-002,c6385,OCNT-2432728,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376215,OCNT-2432728-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376217,OCNT-2432728-ZZ-002_c6385_no-ctrls.png,UP,-3.24,0.307,-2.60,-3.76,1.02,0.209,1.52,0.735,505E+03,174E+03,922E+03,273E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.28,2.58,0.574,0.101,0.138,0.0700,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-4.54,-4.62,-4.62,-3.24,578,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432550,COC(C)(C(=O)NC1COC2=CC=C3N=CC=CC3=C2C1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432550||NA|NA|ZZ-002,c6385,OCNT-2432550,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376221,OCNT-2432550-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376222,OCNT-2432550-ZZ-002_c6385_no-ctrls.png,FLAT,-1.74,0.527,-1.03,-2.93,1.81,0.708,3.62,0.935,503E+03,166E+03,913E+03,275E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.28,2.54,0.576,570E-06,7.23E-03,-5.73E-03,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-2.54,-2.67,-2.67,-1.74,18.1E+03,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,NO,NO,NO
